1;2000;54600;27.3
2;4000;87000;21.75
3;6000;64400;10.7333
4;8000;45800;5.725
5;10000;49700;4.97
6;12000;66200;5.51667
7;14000;132900;9.49286
8;16000;67100;4.19375
9;18000;96200;5.34444
10;20000;54700;2.735
1;2000;48200;24.1
2;4000;74800;18.7
3;6000;58700;9.78333
4;8000;62100;7.7625
5;10000;48500;4.85
6;12000;64900;5.40833
7;14000;83800;5.98571
8;16000;62700;3.91875
9;18000;63800;3.54444
10;20000;67600;3.38
1;2000;78600;39.3
2;4000;85900;21.475
3;6000;68000;11.3333
4;8000;80800;10.1
5;10000;60300;6.03
6;12000;77300;6.44167
7;14000;89600;6.4
8;16000;61000;3.8125
9;18000;78100;4.33889
10;20000;132500;6.625
