1;2000;256400;128.2
2;4000;258600;64.65
3;6000;245700;40.95
4;8000;334200;41.775
5;10000;498200;49.82
6;12000;443600;36.9667
7;14000;259000;18.5
8;16000;243800;15.2375
9;18000;249200;13.8444
10;20000;303300;15.165
1;2000;264000;132
2;4000;239600;59.9
3;6000;237900;39.65
4;8000;301300;37.6625
5;10000;273600;27.36
6;12000;246100;20.5083
7;14000;287600;20.5429
8;16000;286500;17.9062
9;18000;269300;14.9611
10;20000;321200;16.06
1;2000;264300;132.15
2;4000;267400;66.85
3;6000;359300;59.8833
1;2000;269600;134.8
2;4000;242700;60.675
3;6000;236600;39.4333
4;8000;246800;30.85
5;10000;239000;23.9
6;12000;340300;28.3583
7;14000;350000;25
8;16000;250900;15.6813
9;18000;292400;16.2444
10;20000;297600;14.88
