1;2000;18218800;9109.4
2;4000;34525100;8631.27
3;6000;46489200;7748.2
4;8000;75288000;9411
5;10000;132512200;13251.2
6;12000;120553700;10046.1
7;14000;113223000;8087.36
8;16000;116264400;7266.52
9;18000;136918300;7606.57
10;20000;200106900;10005.3
1;2000;17440800;8720.4
2;4000;32687500;8171.88
3;6000;45154000;7525.67
4;8000;79821100;9977.64
5;10000;78075200;7807.52
6;12000;96406000;8033.83
7;14000;115154500;8225.32
8;16000;146718500;9169.91
9;18000;143811800;7989.54
10;20000;216662600;10833.1
1;2000;17932900;8966.45
2;4000;33006800;8251.7
3;6000;44858800;7476.47
1;2000;21315800;10657.9
2;4000;33934500;8483.62
3;6000;47623300;7937.22
4;8000;66146800;8268.35
5;10000;75493600;7549.36
6;12000;127848400;10654
7;14000;147909800;10565
8;16000;132289600;8268.1
9;18000;136300600;7572.26
10;20000;178104200;8905.21
